YEAR;MUN;INTENSITY_USE_DWELLINGS;CONCEPT;status;value
2021;430249;LWU_DW_EL_C_UND_250;DWELL;;58
2021;430249;OCCU_DW_EL_C_250_750;DWELL;;152
2021;430249;REGU_DW_EL_C_MORE_750;DWELL;;1003
2021;430249;TOTAL;DWELL;;1343
2021;250518;EMPT_DW_EL_C_MIN;DWELL;;238
2021;250518;LWU_DW_EL_C_UND_250;DWELL;;135
2021;250518;OCCU_DW_EL_C_250_750;DWELL;;485
2021;250518;REGU_DW_EL_C_MORE_750;DWELL;;1646
2021;250518;TOTAL;DWELL;;2504
2021;250523;EMPT_DW_EL_C_MIN;DWELL;;278
2021;250523;LWU_DW_EL_C_UND_250;DWELL;;36
2021;250523;OCCU_DW_EL_C_250_750;DWELL;;91
2021;250523;REGU_DW_EL_C_MORE_750;DWELL;;839
2021;250523;TOTAL;DWELL;;1244
2021;250539;EMPT_DW_EL_C_MIN;DWELL;;54
2021;250539;LWU_DW_EL_C_UND_250;DWELL;;5
2021;250539;OCCU_DW_EL_C_250_750;DWELL;;31
2021;250539;REGU_DW_EL_C_MORE_750;DWELL;;543
2021;250539;TOTAL;DWELL;;633
2021;430265;EMPT_DW_EL_C_MIN;DWELL;;92
2021;430265;LWU_DW_EL_C_UND_250;DWELL;;49
2021;430265;OCCU_DW_EL_C_250_750;DWELL;;87
2021;430265;REGU_DW_EL_C_MORE_750;DWELL;;425
2021;430265;TOTAL;DWELL;;653
2021;080229;EMPT_DW_EL_C_MIN;DWELL;;755
2021;080229;LWU_DW_EL_C_UND_250;DWELL;;367
2021;080229;OCCU_DW_EL_C_250_750;DWELL;;911
2021;080229;REGU_DW_EL_C_MORE_750;DWELL;;6977
2021;080229;TOTAL;DWELL;;9010
2021;170195;EMPT_DW_EL_C_MIN;DWELL;;77
2021;170195;LWU_DW_EL_C_UND_250;DWELL;;28
2021;170195;OCCU_DW_EL_C_250_750;DWELL;;105
2021;170195;REGU_DW_EL_C_MORE_750;DWELL;;1011
2021;170195;TOTAL;DWELL;;1221
2021;170209;EMPT_DW_EL_C_MIN;DWELL;;152
